appointment_id,contact_id,daysmart_contact_id,appointment_date,service,staff_member,duration_minutes,amount_usd,status,location,data_status,import_date
APT-100000,DS-200000,DS-200000,2025-09-21,Facial,Curtis White,45,89.56,Completed,Main Branch,LIVE,2026-04-14
APT-100001,DS-200000,DS-200000,2023-04-19,Highlights,Peter King,120,45.15,No-Show,Online,LIVE,2026-04-14
APT-100002,DS-200000,DS-200000,2025-11-16,Keratin Treatment,Michael Ryan,45,241.93,Completed,Westside,LIVE,2026-04-14
APT-100003,DS-200000,DS-200000,2024-12-05,Color Treatment,Claire Winters,90,108.59,Completed,Westside,LIVE,2026-04-14
APT-100004,DS-200000,DS-200000,2023-10-08,Massage,James Fleming,60,297.08,No-Show,Main Branch,LIVE,2026-04-14
APT-100005,DS-200000,DS-200000,2021-03-22,Keratin Treatment,Matthew Horn,90,293.48,Completed,Downtown,LIVE,2026-04-14
APT-100006,DS-200001,DS-200001,2019-04-06,Facial,Julie Powell,90,211.48,Completed,Main Branch,LIVE,2026-04-14
APT-100007,DS-200001,DS-200001,2024-11-13,Consultation,Kimberly Murray DVM,45,271.99,Completed,Downtown,LIVE,2026-04-14
APT-100008,DS-200002,DS-200002,2023-07-14,Facial,Vanessa Howard,60,283.58,Completed,Main Branch,LIVE,2026-04-14
APT-100009,DS-200002,DS-200002,2025-09-22,Facial,Thomas Martin,120,283.54,Completed,Main Branch,LIVE,2026-04-14
APT-100010,DS-200002,DS-200002,2022-04-27,Facial,Linda Mcgrath,45,134.76,Completed,Westside,LIVE,2026-04-14
APT-100011,DS-200002,DS-200002,2019-10-24,Highlights,John Weiss,60,23.12,Completed,Main Branch,LIVE,2026-04-14
APT-100012,DS-200002,DS-200002,2023-03-25,Consultation,Jeffery Miller,60,250.26,Completed,Online,LIVE,2026-04-14
APT-100013,DS-200002,DS-200002,2023-02-28,Highlights,Aaron Rivera,30,70.74,Completed,Westside,LIVE,2026-04-14
APT-100014,DS-200003,DS-200003,2023-11-30,Color Treatment,Phillip Gomez,90,137.91,Completed,Main Branch,LIVE,2026-04-14
APT-100015,DS-200003,DS-200003,2022-08-06,Blowout,Tammy Anderson,120,55.64,Completed,Online,LIVE,2026-04-14
APT-100016,DS-200003,DS-200003,2022-10-11,Massage,Jennifer Davis,60,21.21,Completed,Westside,LIVE,2026-04-14
APT-100017,DS-200003,DS-200003,2022-11-16,Consultation,Daniel Hoffman,30,51.45,No-Show,Downtown,LIVE,2026-04-14
APT-100018,DS-200003,DS-200003,2022-06-25,Facial,Rebecca Mathis,120,239.76,Completed,Downtown,LIVE,2026-04-14
APT-100019,DS-200003,DS-200003,2023-09-04,Blowout,Rodney Lopez,120,168.69,No-Show,Westside,LIVE,2026-04-14
APT-100020,DS-200003,DS-200003,2019-03-26,Color Treatment,Dwayne Willis,60,41.16,Completed,Main Branch,LIVE,2026-04-14
APT-100021,DS-200003,DS-200003,2023-02-21,Highlights,Daniel Ross,120,180.98,Completed,Main Branch,LIVE,2026-04-14
APT-100022,DS-200004,DS-200004,2020-12-06,Manicure,Jennifer Gutierrez,90,112.14,Completed,Online,LIVE,2026-04-14
APT-100023,DS-200004,DS-200004,2021-04-30,Manicure,Mikayla Ross,90,180.35,Cancelled,Online,LIVE,2026-04-14
APT-100024,DS-200004,DS-200004,2024-05-16,Keratin Treatment,Eric Pena,90,206.2,Completed,Downtown,LIVE,2026-04-14
APT-100025,DS-200004,DS-200004,2019-01-17,Keratin Treatment,Colleen Lamb,120,97.1,Completed,Westside,LIVE,2026-04-14
APT-100026,DS-200004,DS-200004,2020-11-10,Facial,Danielle Phillips,120,277.6,Completed,Main Branch,LIVE,2026-04-14
APT-100027,DS-200006,DS-200006,2019-10-17,Highlights,Shelly Kramer,45,237.16,Completed,Westside,LIVE,2026-04-14
APT-100028,DS-200006,DS-200006,2024-12-31,Color Treatment,Tara Scott,30,222.93,Completed,Downtown,LIVE,2026-04-14
APT-100029,DS-200006,DS-200006,2019-12-21,Haircut,Jennifer Barrett,120,201.05,Completed,Westside,LIVE,2026-04-14
APT-100030,DS-200006,DS-200006,2019-08-05,Pedicure,Victoria Estrada,90,72.64,Completed,Main Branch,LIVE,2026-04-14
APT-100031,DS-200006,DS-200006,2026-03-18,Highlights,James Clay,30,84.71,Cancelled,Main Branch,LIVE,2026-04-14
APT-100032,DS-200006,DS-200006,2019-03-25,Manicure,Mark Sandoval,45,57.17,Completed,Westside,LIVE,2026-04-14
APT-100033,DS-200006,DS-200006,2020-11-02,Keratin Treatment,Haley Ross,60,257.04,Cancelled,Westside,LIVE,2026-04-14
APT-100034,DS-200007,DS-200007,2022-01-13,Keratin Treatment,Joseph Smith,45,173.43,Cancelled,Main Branch,LIVE,2026-04-14
APT-100035,DS-200008,DS-200008,2026-04-07,Manicure,Richard Wallace,45,256.2,Completed,Online,LIVE,2026-04-14
APT-100036,DS-200008,DS-200008,2019-04-28,Massage,Paul Stevenson,45,272.16,Completed,Westside,LIVE,2026-04-14
APT-100037,DS-200008,DS-200008,2021-11-08,Facial,Joseph Harvey,120,233.98,Completed,Main Branch,LIVE,2026-04-14
APT-100038,DS-200009,DS-200009,2022-10-30,Consultation,Alex Garcia,45,153.89,No-Show,Main Branch,LIVE,2026-04-14
APT-100039,DS-200009,DS-200009,2020-10-16,Massage,Kevin Woodward,120,155.7,Cancelled,Main Branch,LIVE,2026-04-14
APT-100040,DS-200009,DS-200009,2021-04-06,Facial,Jacob Grant,45,153.12,Completed,Downtown,LIVE,2026-04-14
APT-100041,DS-200010,DS-200010,2024-10-13,Highlights,Leah Phillips,120,41.63,Completed,Downtown,LIVE,2026-04-14
APT-100042,DS-200010,DS-200010,2023-09-21,Consultation,Wendy Leon,120,177.19,Completed,Westside,LIVE,2026-04-14
APT-100043,DS-200010,DS-200010,2025-05-01,Pedicure,Christopher Murray,90,72.94,Completed,Main Branch,LIVE,2026-04-14
APT-100044,DS-200010,DS-200010,2021-11-10,Haircut,Mia Barnes,120,168.49,Completed,Westside,LIVE,2026-04-14
APT-100045,DS-200010,DS-200010,2022-11-12,Consultation,Cassidy Wright,45,215.05,No-Show,Westside,LIVE,2026-04-14
APT-100046,DS-200010,DS-200010,2019-08-17,Haircut,Kenneth Preston,60,84.85,No-Show,Main Branch,LIVE,2026-04-14
APT-100047,DS-200010,DS-200010,2019-10-31,Haircut,Steven Small,30,69.26,Completed,Westside,LIVE,2026-04-14
APT-100048,DS-200010,DS-200010,2019-10-16,Haircut,Christopher Jones,90,51.91,Completed,Main Branch,LIVE,2026-04-14
APT-100049,DS-200010,DS-200010,2023-02-23,Blowout,Joe Smith,90,176.34,Completed,Westside,LIVE,2026-04-14
APT-100050,DS-200013,DS-200013,2019-12-27,Massage,Alexandria Bennett,60,73.67,Completed,Westside,LIVE,2026-04-14
APT-100051,DS-200016,DS-200016,2024-11-14,Highlights,Joseph Frey,45,94.23,Completed,Online,LIVE,2026-04-14
APT-100052,DS-200016,DS-200016,2022-11-16,Haircut,Matthew Martin,90,83.97,Cancelled,Main Branch,LIVE,2026-04-14
APT-100053,DS-200016,DS-200016,2022-05-20,Massage,Jessica Cunningham,120,296.87,Completed,Online,LIVE,2026-04-14
APT-100054,DS-200019,DS-200019,2025-11-22,Blowout,Tony Johnson,30,155.49,Cancelled,Online,LIVE,2026-04-14
APT-100055,DS-200019,DS-200019,2022-11-15,Blowout,Lee Davenport,30,126.68,Completed,Main Branch,LIVE,2026-04-14
APT-100056,DS-200019,DS-200019,2025-08-08,Massage,Joshua Chan,45,287.31,Completed,Westside,LIVE,2026-04-14
APT-100057,DS-200019,DS-200019,2019-09-04,Haircut,Christopher Walker,45,30.91,Completed,Downtown,LIVE,2026-04-14
APT-100058,DS-200019,DS-200019,2019-01-27,Facial,Paige Jones,90,94.02,Completed,Westside,LIVE,2026-04-14
APT-100059,DS-200019,DS-200019,2022-10-15,Massage,Brian Graham,60,24.87,Completed,Main Branch,LIVE,2026-04-14
APT-100060,DS-200020,DS-200020,2019-06-18,Massage,Valerie Wood,90,275.95,Completed,Westside,LIVE,2026-04-14
APT-100061,DS-200020,DS-200020,2024-04-12,Pedicure,Shawn Saunders,60,240.42,Completed,Online,LIVE,2026-04-14
APT-100062,DS-200020,DS-200020,2019-04-28,Manicure,Deborah Joseph,120,189.36,Completed,Main Branch,LIVE,2026-04-14
